participant,PT,target,distractor,other,Condition
7,1334,1,0,0,1
7,386,0,1,0,1
7,275,1,0,0,1
7,1287,1,0,0,1
7,381,0,1,0,1
7,292,0,1,0,1
7,629,0,0,1,1
7,981,1,0,0,1
7,368,0,1,0,1
7,303,0,1,0,1
7,1136,1,0,0,1
7,502,1,0,0,1
7,840,1,0,0,1
7,862,1,0,0,1
7,430,1,0,0,1
7,711,1,0,0,1
7,538,1,0,0,1
7,356,0,1,0,1
7,1264,1,0,0,1
7,387,1,0,0,1
7,1224,1,0,0,1
7,645,1,0,0,1
7,1159,1,0,0,1
7,945,1,0,0,1
7,895,1,0,0,1
7,1169,1,0,0,1
7,643,0,1,0,1
7,830,1,0,0,1
7,234,0,1,0,1
7,135,0,1,0,1
7,194,0,1,0,1
7,876,1,0,0,1
7,298,0,1,0,1
7,959,1,0,0,1
7,932,1,0,0,1
7,587,1,0,0,1
7,1488,1,0,0,1
7,149,1,0,0,1
7,725,1,0,0,1
7,1350,1,0,0,1
7,1082,1,0,0,1
7,321,1,0,0,1
7,1312,1,0,0,1
7,1008,1,0,0,1
7,769,1,0,0,1
7,698,1,0,0,1
7,594,1,0,0,1
7,1268,1,0,0,1
7,1200,1,0,0,1
7,384,0,0,1,1
7,783,1,0,0,1
7,691,1,0,0,1
7,557,0,0,1,1
7,250,0,1,0,1
7,1021,1,0,0,1
7,139,1,0,0,1
7,743,1,0,0,1
7,1150,1,0,0,1
7,1298,1,0,0,1
7,1170,1,0,0,1
7,892,1,0,0,1
7,904,1,0,0,1
7,865,1,0,0,1
7,917,1,0,0,1
7,768,1,0,0,1
7,398,0,1,0,1
7,1288,1,0,0,1
7,1435,1,0,0,1
7,175,0,0,1,1
7,1157,1,0,0,1
7,525,1,0,0,1
7,219,0,1,0,1
7,1138,1,0,0,1
7,573,1,0,0,1
7,1425,1,0,0,1
7,433,1,0,0,1
7,980,1,0,0,1
7,1185,1,0,0,1
7,804,1,0,0,1
7,517,0,1,0,1
7,823,1,0,0,1
8,403,0,1,0,1
8,804,1,0,0,1
8,591,1,0,0,1
8,571,1,0,0,1
8,262,0,1,0,1
8,632,0,1,0,1
8,503,1,0,0,1
8,442,0,1,0,1
8,841,1,0,0,1
8,508,1,0,0,1
8,498,0,1,0,1
8,264,0,1,0,1
8,289,0,0,1,1
8,1282,1,0,0,1
8,1293,1,0,0,1
8,592,1,0,0,1
8,259,0,1,0,1
8,614,0,1,0,1
